a,b,c,d,primitive,family
68,246,346,384,0,sporadic
76,212,360,384,0,sporadic
99,236,349,384,1,sporadic
173,232,339,384,1,sporadic
185,207,346,384,1,sporadic
192,256,320,384,0,"A:(3,4,5,6)-multiple"
168,268,321,385,1,sporadic
50,136,380,386,0,sporadic
71,81,384,386,1,sporadic
43,258,344,387,0,sporadic
114,171,372,387,0,sporadic
87,297,316,388,1,sporadic
138,145,375,388,1,sporadic
180,276,316,388,0,sporadic
141,272,330,389,1,sporadic
195,260,325,390,0,"A:(3,4,5,6)-multiple"
24,159,382,391,1,sporadic
87,150,382,391,1,sporadic
17,175,380,392,1,sporadic
252,266,294,392,0,"B:Ramanujan(m,n)"
79,245,357,393,1,sporadic
106,116,388,394,0,sporadic
135,177,376,394,1,sporadic
147,232,357,394,1,sporadic
54,152,387,395,1,sporadic
15,228,369,396,0,sporadic
24,197,379,396,1,sporadic
44,264,352,396,0,sporadic
54,92,394,396,0,sporadic
94,149,387,396,1,sporadic
144,207,369,396,0,sporadic
146,270,340,396,0,sporadic
198,264,330,396,0,"A:(3,4,5,6)-multiple"
240,271,305,396,1,sporadic
12,254,360,398,0,sporadic
63,210,378,399,0,sporadic
38,295,337,400,1,sporadic
64,272,352,400,0,sporadic
114,261,355,400,1,sporadic
140,280,340,400,0,"B:Ramanujan(m,n)"
90,106,398,402,0,sporadic
132,306,324,402,0,sporadic
154,251,357,402,1,sporadic
201,268,335,402,0,"A:(3,4,5,6)-multiple"
258,285,291,402,0,"B:Ramanujan(m,n)"
152,282,342,404,0,sporadic
170,276,342,404,0,"B:Ramanujan(m,n)"
45,270,360,405,0,sporadic
125,240,370,405,0,sporadic
105,294,343,406,0,"B:Ramanujan(m,n)"
154,210,378,406,0,sporadic
162,294,334,406,0,sporadic
177,276,343,406,1,"B:Ramanujan(m,n)"
178,295,329,406,1,sporadic
32,310,335,407,1,sporadic
64,107,405,408,1,sporadic
123,197,388,408,1,sporadic
149,256,363,408,1,sporadic
180,197,379,408,1,sporadic
204,272,340,408,0,"A:(3,4,5,6)-multiple"
20,170,400,410,0,sporadic
60,320,330,410,0,sporadic
95,300,345,410,0,"B:Ramanujan(m,n)"
108,267,365,410,1,sporadic
216,284,330,410,0,sporadic
80,219,388,411,1,sporadic
132,219,384,411,0,sporadic
10,326,328,412,0,"B:Ramanujan(m,n)"
48,124,408,412,0,sporadic
70,154,404,412,0,sporadic
171,282,349,412,1,"B:Ramanujan(m,n)"
27,324,333,414,0,"B:Ramanujan(m,n)"
46,276,368,414,0,sporadic
207,276,345,414,0,"A:(3,4,5,6)-multiple"
216,228,366,414,0,sporadic
243,270,333,414,0,"B:Ramanujan(m,n)"
88,95,412,415,1,sporadic
18,137,412,417,1,sporadic
169,234,380,417,1,sporadic
282,288,297,417,0,sporadic
66,220,396,418,0,sporadic
114,292,360,418,0,sporadic
226,292,332,418,0,sporadic
107,292,362,419,1,sporadic
235,236,362,419,1,sporadic
42,324,342,420,0,"B:Ramanujan(m,n)"
84,166,410,420,0,sporadic
132,280,368,420,0,sporadic
140,265,375,420,0,sporadic
147,294,357,420,0,"B:Ramanujan(m,n)"
210,280,350,420,0,"A:(3,4,5,6)-multiple"
270,285,315,420,0,"B:Ramanujan(m,n)"
144,179,405,422,1,sporadic
47,282,376,423,0,sporadic
138,178,407,423,1,sporadic
216,255,366,423,0,sporadic
232,272,352,424,0,sporadic
22,320,353,425,1,sporadic
68,289,374,425,0,sporadic
178,188,401,425,1,sporadic
250,305,320,425,0,sporadic
84,138,420,426,0,sporadic
93,192,411,426,0,sporadic
112,122,420,426,0,sporadic
149,166,411,426,1,sporadic
160,243,389,426,1,sporadic
213,284,355,426,0,"A:(3,4,5,6)-multiple"
32,102,426,428,0,sporadic
116,314,358,428,0,sporadic
191,290,361,428,1,"B:Ramanujan(m,n)"
276,303,313,430,1,"B:Ramanujan(m,n)"
135,188,414,431,1,sporadic
200,239,388,431,1,sporadic
3,213,414,432,0,sporadic
48,288,384,432,0,sporadic
52,204,416,432,0,sporadic
60,328,356,432,0,"B:Ramanujan(m,n)"
96,152,424,432,0,sporadic
204,234,390,432,0,sporadic
213,323,334,432,1,sporadic
216,288,360,432,0,"A:(3,4,5,6)-multiple"
219,269,370,432,1,sporadic
92,252,402,434,0,sporadic
36,243,408,435,0,sporadic
73,123,431,435,1,sporadic
100,270,395,435,0,sporadic
130,275,390,435,0,sporadic
165,225,405,435,0,sporadic
190,240,395,435,0,sporadic
18,193,423,436,1,sporadic
186,310,360,436,0,sporadic
280,302,322,436,0,"B:Ramanujan(m,n)"
69,230,414,437,0,sporadic
104,150,429,437,1,sporadic
100,134,432,438,0,sporadic
102,304,380,438,0,sporadic
131,261,400,438,1,sporadic
134,334,354,438,0,sporadic
216,326,340,438,0,sporadic
219,292,365,438,0,"A:(3,4,5,6)-multiple"
105,215,420,440,0,sporadic
107,306,381,440,1,sporadic
116,300,384,440,0,sporadic
125,155,430,440,0,sporadic
154,308,374,440,0,"B:Ramanujan(m,n)"
160,230,410,440,0,sporadic
49,294,392,441,0,sporadic
66,225,420,441,0,sporadic
64,188,432,444,0,sporadic
222,296,370,444,0,"A:(3,4,5,6)-multiple"
85,200,430,445,0,sporadic
202,261,396,445,1,sporadic
215,218,409,446,1,sporadic
127,188,432,447,1,sporadic
138,239,418,447,1,sporadic
288,304,336,448,0,"B:Ramanujan(m,n)"
50,300,400,450,0,sporadic
62,190,438,450,0,sporadic
72,306,396,450,0,sporadic
125,190,435,450,0,sporadic
213,219,414,450,0,sporadic
225,300,375,450,0,"A:(3,4,5,6)-multiple"
